Entity,Code,Year,population,population
Africa,,1947,215892205,215892205
Africa,,1948,219417537,219417537
Africa,,1949,223283535,223283535
Africa,,1950,227776838,227776838
Africa,,1951,232557383,232557383
Africa,,1952,237539907,237539907
Africa,,1953,242685413,242685413
Africa,,1954,248006202,248006202
Africa,,1955,253538227,253538227
Africa,,1956,259271778,259271778
Africa,,1957,265129071,265129071
Africa,,1958,271042087,271042087
Africa,,1959,277271966,277271966
Africa,,1960,283922289,283922289
Africa,,1961,290814083,290814083
Africa,,1962,297959967,297959967
Africa,,1963,305371382,305371382
Africa,,1964,313060731,313060731
Africa,,1965,321013569,321013569
Africa,,1966,329252360,329252360
Africa,,1967,337851070,337851070
Africa,,1968,346800965,346800965
Africa,,1969,356032572,356032572
Africa,,1970,365552194,365552194
Africa,,1971,375326467,375326467
Africa,,1972,385312221,385312221
Africa,,1973,395821972,395821972
Africa,,1974,406870347,406870347
Africa,,1975,418433494,418433494
Africa,,1976,430496972,430496972
Africa,,1977,442660474,442660474
Africa,,1978,455539246,455539246
Africa,,1979,469198447,469198447
Africa,,1980,483051703,483051703
Africa,,1981,497620997,497620997
Africa,,1982,512958818,512958818
Africa,,1983,528232712,528232712
Africa,,1984,543638102,543638102
Africa,,1985,559664031,559664031
Africa,,1986,575967283,575967283
Africa,,1987,592601301,592601301
Africa,,1988,609387686,609387686
Africa,,1989,626359180,626359180
Africa,,1990,643775320,643775320
Africa,,1991,661103806,661103806
Africa,,1992,678558076,678558076
Africa,,1993,696621727,696621727
Africa,,1994,714502658,714502658
Africa,,1995,732695476,732695476
Africa,,1996,751473728,751473728
Africa,,1997,770384702,770384702
Africa,,1998,789981698,789981698
Africa,,1999,810079818,810079818
Africa,,2000,830582806,830582806
Africa,,2001,851690329,851690329
Africa,,2002,873411364,873411364
Africa,,2003,895734453,895734453
Africa,,2004,918778450,918778450
Africa,,2005,942546623,942546623
Africa,,2006,966932346,966932346
Africa,,2007,992055831,992055831
Africa,,2008,1018065513,1018065513
Africa,,2009,1044777740,1044777740
Africa,,2010,1072216718,1072216718
Africa,,2011,1100148882,1100148882
Africa,,2012,1128843697,1128843697
Africa,,2013,1158780551,1158780551
Africa,,2014,1189220573,1189220573
Africa,,2015,1220075728,1220075728
Africa,,2016,1251208654,1251208654
Africa,,2017,1282902302,1282902302
Africa,,2018,1315409965,1315409965
Africa,,2019,1348005687,1348005687
Africa,,2020,1380821355,1380821355
Africa,,2021,1413753270,1413753270
Africa,,2022,1446883817,1446883817
Africa,,2023,1480770740,1480770740
Africa,,2024,1515141047,1515141047
Africa,,2025,1549867773,1549867773
Africa,,2026,1584985405,1584985405
Africa,,2027,1620262281,1620262281
Africa,,2028,1655677665,1655677665
Africa,,2029,1691327239,1691327239
Africa,,2030,1727213608,1727213608
Africa,,2031,1763341554,1763341554
Africa,,2032,1799678037,1799678037
Africa,,2033,1836165359,1836165359
Africa,,2034,1872848700,1872848700
Africa,,2035,1909745371,1909745371
Africa,,2036,1946779739,1946779739
Africa,,2037,1983889043,1983889043
Africa,,2038,2021069031,2021069031
Africa,,2039,2058326171,2058326171
Africa,,2040,2095653511,2095653511
Africa,,2041,2133011443,2133011443
Africa,,2042,2170362650,2170362650
Africa,,2043,2207713653,2207713653
Africa,,2044,2245033510,2245033510
Africa,,2045,2282241913,2282241913
Africa,,2046,2319336379,2319336379
Africa,,2047,2356367917,2356367917
Africa,,2048,2393301462,2393301462
Africa,,2049,2430064372,2430064372
Africa,,2050,2466647777,2466647777
Africa,,2051,2503122626,2503122626
Africa,,2052,2539451545,2539451545
Africa,,2053,2575522921,2575522921
Africa,,2054,2611380625,2611380625
Africa,,2055,2647052120,2647052120
Africa,,2056,2682482636,2682482636
Africa,,2057,2717607457,2717607457
Africa,,2058,2752440545,2752440545
Africa,,2059,2787096243,2787096243
Africa,,2060,2821497212,2821497212
Africa,,2061,2855583621,2855583621
Africa,,2062,2889314596,2889314596
Africa,,2063,2922621075,2922621075
Africa,,2064,2955590812,2955590812
Africa,,2065,2988210984,2988210984
Africa,,2066,3020431571,3020431571
Africa,,2067,3052276244,3052276244
Africa,,2068,3083691301,3083691301
Africa,,2069,3114659751,3114659751
Africa,,2070,3145215377,3145215377
Africa,,2071,3175353199,3175353199
Africa,,2072,3205068566,3205068566
Africa,,2073,3234288760,3234288760
Africa,,2074,3263034456,3263034456
Africa,,2075,3291312357,3291312357
Africa,,2076,3319032086,3319032086
Africa,,2077,3346261978,3346261978
Africa,,2078,3373019689,3373019689
Africa,,2079,3399165563,3399165563
Africa,,2080,3424700722,3424700722
Africa,,2081,3449654790,3449654790
Africa,,2082,3474067673,3474067673
Africa,,2083,3497973877,3497973877
Africa,,2084,3521288057,3521288057
Africa,,2085,3544047896,3544047896
Africa,,2086,3566322771,3566322771
Africa,,2087,3587962961,3587962961
Africa,,2088,3608880021,3608880021
Africa,,2089,3629227577,3629227577
Africa,,2090,3649045695,3649045695
Africa,,2091,3668203775,3668203775
Africa,,2092,3686701970,3686701970
Africa,,2093,3704607593,3704607593
Africa,,2094,3721931368,3721931368
Africa,,2095,3738661439,3738661439
Africa,,2096,3754852668,3754852668
Africa,,2097,3770482493,3770482493
Africa,,2098,3785518381,3785518381
Africa,,2099,3799971565,3799971565
Africa,,2100,3813883677,3813883677
Asia,,1947,1341255488,1341255488
Asia,,1948,1349532426,1349532426
Asia,,1949,1362069889,1362069889
Asia,,1950,1367581794,1367581794
Asia,,1951,1394310209,1394310209
Asia,,1952,1423932568,1423932568
Asia,,1953,1455634307,1455634307
Asia,,1954,1488418594,1488418594
Asia,,1955,1523146412,1523146412
Asia,,1956,1558262812,1558262812
Asia,,1957,1594675240,1594675240
Asia,,1958,1631866814,1631866814
Asia,,1959,1664697435,1664697435
Asia,,1960,1691762689,1691762689
Asia,,1961,1718156542,1718156542
Asia,,1962,1753318917,1753318917
Asia,,1963,1799305118,1799305118
Asia,,1964,1847441779,1847441779
Asia,,1965,1894030096,1894030096
Asia,,1966,1940186410,1940186410
Asia,,1967,1986308204,1986308204
Asia,,1968,2034769705,2034769705
Asia,,1969,2085428644,2085428644
Asia,,1970,2136911800,2136911800
Asia,,1971,2187672734,2187672734
Asia,,1972,2237825637,2237825637
Asia,,1973,2288852578,2288852578
Asia,,1974,2339398093,2339398093
Asia,,1975,2388510796,2388510796
